电机型号,惯量类型,额定功率(kW),额定转速(rpm),额定扭矩(Nm),最大扭矩(Nm),最大转速(rpm),额定电流(A),最大电流(A),转子惯量_无刹车(kgcm²),转子惯量_带刹车(kgcm²),质量_不带刹车(kg),质量_带刹车(kg),法兰(mm),机身长度_不带刹车(mm),机身长度_带刹车(mm),轴长(mm),轴径(mm)
MC20-060-3L30-N201,低惯量,0.2,3000,0.64,2.00,6000,0.92,3.10,0.20,0.21,1.1,1.4,60,91,119,30,14
MC20-060-3L30-N401,低惯量,0.4,3000,1.28,4.00,6000,1.43,4.80,0.37,0.38,1.4,1.8,60,109,137,30,14
MC20-080-3L30-N751,低惯量,0.75,3000,2.39,8.00,6000,2.00,6.70,1.44,1.50,2.6,3.0,80,127,157,35,19
MC20-130-3M15-N851,中惯量,0.85,1500,5.4,16.6,4500,3.8,12.0,10.5,11.5,6.7,8.2,130,147,172,58,24
MC20-080-3L30-N102,低惯量,1.0,3000,3.18,9.80,6000,3.86,12.00,1.90,1.95,3.2,3.6,80,139,169,35,19
MC20-130-3M20-N102,中惯量,1.0,2000,4.8,14.3,4500,4.0,12.0,10.5,11.5,6.7,8.2,130,147,172,58,24
MC20-130-3M15-N132,中惯量,1.3,1500,8.3,24.0,4500,5.8,17.0,13.3,14.2,7.5,9.0,130,157,182,58,24
MC20-100-3L30-N152,低惯量,1.5,3000,4.80,14.85,6000,5.60,17.70,2.19,2.56,4.4,5.6,100,152,195,45,24
MC20-130-3M20-N152,中惯量,1.5,2000,7.2,24.0,4500,6.3,21.5,13.3,14.2,7.5,9.1,130,157,182,58,24
MC20-130-3M15-N182,中惯量,1.8,1500,11.5,36.0,4500,6.3,20.6,18.3,19.3,9.3,10.8,130,177,202,58,24
MC20-100-3L30-N202,低惯量,2.0,3000,6.38,19.80,5000,6.30,20.40,2.79,3.16,5.1,6.4,100,177,220,45,24
MC20-130-3M20-N202,中惯量,2.0,2000,9.6,33.5,4500,6.3,23.0,18.3,19.3,9.3,10.8,130,177,202,58,24
MC20-100-3L30-N252,低惯量,2.5,3000,7.96,26.40,5000,8.00,26.80,3.65,4.02,6.1,7.4,100,207,250,45,24
MC20-130-3M20-N252,中惯量,2.5,2000,12.0,40.0,4500,9.9,33.0,23.6,24.6,11.0,12.6,130,197,222,58,24
MC20-180-3M15-N292,中惯量,2.9,1500,18.5,57.6,4500,9.9,31.5,48.3,54.7,17.1,21.8,180,182.5,212.5,79,35
MC20-130-3L30-N302,低惯量,3.0,3000,9.6,29.0,5000,10.0,33.0,10.2,12.2,10.1,11.9,130,202,232,58,24
MC20-130-3M20-N302,中惯量,3.0,2000,14.3,47.0,4500,9.7,33.0,28.8,29.7,12.9,14.4,130,217,242,58,24
MC20-180-3M15-N332,中惯量,3.3,1500,21.0,67.2,4500,14.7,47.6,54.5,60.9,18.5,23.3,180,190.5,220.5,79,35
MC20-180-3M20-N352,中惯量,3.5,2000,16.7,54.0,4500,15.1,50.0,48.3,54.7,17.0,21.8,180,182.5,212.5,79,35
MC20-130-3L30-N402,低惯量,4.0,3000,12.7,45.0,5000,12.6,49.0,12.8,14.8,11.7,13.5,130,212,242,58,24
MC20-180-3M20-N402,中惯量,4.0,2000,19.1,60.0,4500,15.6,50.0,54.5,60.9,18.6,23.3,180,193,223,79,35
MC20-180-3M15-N442,中惯量,4.4,1500,28.0,86.0,4500,15.9,50.0,70.0,76.4,21.5,26.7,180,210.5,240.5,79,35
MC20-130-3L30-N502,低惯量,5.0,3000,16.0,48.0,5000,16.0,50.0,16.8,18.8,13.3,16.0,130,242,272,58,24
MC20-180-3M20-N502,中惯量,5.0,2000,24.0,76.0,4500,15.6,50.0,70.0,76.4,21.8,26.7,180,210.5,240.5,79,35
MC20-180-3M15-N552,中惯量,5.5,1500,35.0,112.0,4500,15.4,50.0,91.7,98.1,26.0,31.2,180,238.5,268.5,79,35
MC20-180-3M20-N752,中惯量,7.5,2000,36.0,116.0,4500,15.3,50.0,120.0,126.4,31.9,37.1,180,266.5,296.5,79,35
MC20-180-3M15-N752,中惯量,7.5,1500,48.0,150.0,3000,15.7,50.0,113.4,120.0,31.4,36.8,180,254,284,79,35
